Partner.Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,,,
Afghanistan,,,,,,,,,,,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20264253974,20616104298,19215562179,19469022208,20815300220
Angola,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,12497347956,14188949398,19640853734,28233712738,41789479932,60448924662,84178035579,75492385928,82526143645,1.04116E+11,1.13923E+11,1.24913E+11,1.2673E+11,1.02621E+11,95337203468,1.24209E+11
Albania,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898292,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12776277515,13228244357,11386931490,11883682171,13039352744
Andorra,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1434429703,1496912752,1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
Arab World,4.39642E+11,4.71017E+11,4.76365E+11,4.87375E+11,5.23357E+11,5.78012E+11,6.12896E+11,5.90693E+11,6.43148E+11,7.34768E+11,7.23283E+11,7.29052E+11,8.23111E+11,9.63862E+11,1.18466E+12,1.40411E+12,1.63757E+12,2.07812E+12,1.79582E+12,2.10955E+12,2.5013E+12,2.78614E+12,2.86604E+12,2.90692E+12,2.55448E+12,2.50016E+12,2.59105E+12
United Arab Emirates,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.82575E+11
Argentina,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.54861E+11,6.3759E+11
Armenia,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
Samoa,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,659000000,658000000,
Antigua and Barbuda,481706333.3,499281148.1,535172777.8,589429592.6,577280740.7,633730629.6,680617111.1,727860592.6,766198925.9,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296,1157005444,1311401333,1368431037,1224253000,1152469074,1142042926,1211411704,1192925407,1280133333,1364863037,1460144704,1532397556
